ID	SizeFraction	Kingdom	Superphylum	Phylum	Class	Order	Family	Genus	Species
bp_ASV_000178	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriales_NS11-12	Sphingobacteriales_NS11-12	unidentified_marine_bacterioplankton
bp_ASV_000179	pico	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SCGC_AAA164-E04	Verrucomicrobia_bacterium_SCGC_AAA164-E04
bp_ASV_000181	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ia	uncultured_bacterium
bp_ASV_000183	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS4	uncultured_marine_bacterium
bp_ASV_000184	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_II	SAR11_Clade_II	uncultured_bacterium
bp_ASV_000187	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter_2	uncultured_Bacteroidetes_bacterium
bp_ASV_000189	pico	Bacteria	Epsilonbacteraeota	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	uncultured_bacterium
bp_ASV_000190	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	rock_porewater_metagenome
bp_ASV_000193	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	uncultured_marine_bacterium
bp_ASV_000194	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_SAR116	Puniceispirillales_SAR116	uncultured_marine_bacterium
bp_ASV_000196	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriales_NS9	Flavobacteriales_NS9	uncultured_marine_bacterium
bp_ASV_000197	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_bacterium
bp_ASV_000198	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_AEGEAN-169	Rhodospirillales_AEGEAN-169	uncultured_marine_bacterium
bp_ASV_000199	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	uncultured_bacterium
bp_ASV_000201	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_IV	SAR11_Clade_IV	uncultured_marine_bacterium
bp_ASV_000202	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	uncultured_Psychrobacter_sp
bp_ASV_000203	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	uncultured_Psychrobacter_sp
bp_ASV_000207	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriales_NS7	Flavobacteriales_NS7	uncultured_bacterium
bp_ASV_000208	pico	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Coraliomargarita	uncultured_bacterium
bp_ASV_000209	pico	Bacteria	Chloroflexi	Chloroflexi	Dehalococcoidia	Dehalococcoidia_SAR202	Dehalococcoidia_SAR202	Dehalococcoidia_SAR202	marine_metagenome
bp_ASV_000210	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ib	uncultured_bacterium
bp_ASV_000212	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	uncultured_bacterium
bp_ASV_000213	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Ga0077536	Gammaproteobacteria_Ga0077536	Gammaproteobacteria_Ga0077536	uncultured_bacterium
bp_ASV_000214	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS4	uncultured_Flavobacteriales_bacterium
bp_ASV_000215	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS4	uncultured_marine_bacterium
bp_ASV_000216	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionales_X	Micavibrionales_X	uncultured_alpha_proteobacterium
bp_ASV_000217	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriales_NS9	Flavobacteriales_NS9	uncultured_Flavobacteriales_bacterium
bp_ASV_000219	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS5	uncultured_marine_bacterium
bp_ASV_000221	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_SAR116	Puniceispirillales_SAR116	uncultured_bacterium
bp_ASV_000222	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_AEGEAN-169	Rhodospirillales_AEGEAN-169	uncultured_bacterium
bp_ASV_000223	pico	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	uncultured_marine_bacterium
bp_ASV_000226	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_HOC36	Gammaproteobacteria_HOC36	Gammaproteobacteria_HOC36	uncultured_bacterium
bp_ASV_000227	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_bacterium
bp_ASV_000230	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ib	uncultured_bacterium
bp_ASV_000232	pico	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	uncultured_bacterium
bp_ASV_000233	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_marine_bacterium
bp_ASV_000238	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_bacterium
bp_ASV_000239	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS5	uncultured_bacterium
bp_ASV_000240	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ib	uncultured_bacterium
bp_ASV_000241	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter	uncultured_bacterium
bp_ASV_000242	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_SAR116	Puniceispirillales_SAR116	unidentified_marine_bacterioplankton
bp_ASV_000244	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS4	uncultured_marine_bacterium
bp_ASV_000248	pico	Bacteria	Planctomycetes	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula	marine_metagenome
bp_ASV_000249	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola	uncultured_gamma_proteobacterium_CHAB-III-7
bp_ASV_000251	pico	Bacteria	Actinobacteria	Actinobacteria_X	Actinobacteria_X	Micrococcales	Microbacteriaceae	DS001	marine_metagenome
bp_ASV_000252	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	uncultured_bacterium
bp_ASV_000256	pico	Bacteria	Proteobacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_SAR324	Deltaproteobacteria_SAR324	Deltaproteobacteria_SAR324	uncultured_bacterium
bp_ASV_000257	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriales_NS9	Flavobacteriales_NS9	uncultured_bacterium
bp_ASV_000262	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_I	uncultured_marine_bacterium
bp_ASV_000265	pico	Bacteria	Planctomycetes	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rubripirellula	uncultured_planctomycete_6N14
bp_ASV_000268	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriales_NS9	Flavobacteriales_NS9	uncultured_Flavobacteriia_bacterium
bp_ASV_000271	pico	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	marine_metagenome
bp_ASV_000272	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingomonas_sp._ZP1
bp_ASV_000273	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_II	SAR11_Clade_II	uncultured_bacterium
bp_ASV_000276	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS4	uncultured_marine_bacterium
bp_ASV_000277	pico	Bacteria	Epsilonbacteraeota	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter_cryaerophilus
bp_ASV_000278	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_III	SAR11_Clade_III	uncultured_bacterium
bp_ASV_000279	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	uncultured_bacterium
bp_ASV_000280	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS2b	uncultured_marine_bacterium
bp_ASV_000281	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriales_NS11-12	Sphingobacteriales_NS11-12	marine_metagenome
bp_ASV_000282	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_marine_bacterium
bp_ASV_000283	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	uncultured_bacterium
bp_ASV_000284	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_IV	SAR11_Clade_IV	uncultured_marine_bacterium
bp_ASV_000285	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	uncultured_bacterium
bp_ASV_000288	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	Parvibaculales_PS1	Parvibaculales_PS1	uncultured_bacterium
bp_ASV_000289	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_marine_bacterium
bp_ASV_000290	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	Parvibaculales_OCS116	Parvibaculales_OCS116	uncultured_marine_bacterium
bp_ASV_000291	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_S25-593	Rickettsiales_S25-593	uncultured_bacterium
bp_ASV_000293	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS4	uncultured_bacterium
bp_ASV_000294	pico	Bacteria	Chloroflexi	Chloroflexi	Dehalococcoidia	Dehalococcoidia_SAR202	Dehalococcoidia_SAR202	Dehalococcoidia_SAR202	marine_metagenome
bp_ASV_000295	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_OM60	marine_metagenome
bp_ASV_000298	pico	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Pelagicoccus	uncultured_bacterium
bp_ASV_000299	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola	uncultured_bacterium
bp_ASV_000301	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS2b	uncultured_marine_bacterium
bp_ASV_000302	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_X	uncultured_bacterium
bp_ASV_000303	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola	uncultured_bacterium
bp_ASV_000304	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_gamma_proteobacterium
bp_ASV_000306	pico	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	uncultured_marine_bacterium
bp_ASV_000308	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ia	uncultured_bacterium
bp_ASV_000311	pico	Bacteria	Dadabacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Dadabacteriales_X	Dadabacteriales_X	metagenome
bp_ASV_000314	pico	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiae_Arctic97B-4	Verrucomicrobiae_Arctic97B-4	Verrucomicrobiae_Arctic97B-4	marine_metagenome
bp_ASV_000318	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_III	SAR11_Clade_III	uncultured_bacterium
bp_ASV_000319	pico	Bacteria	Proteobacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_SAR324	Deltaproteobacteria_SAR324	Deltaproteobacteria_SAR324	uncultured_bacterium
bp_ASV_000320	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	Nisaeaceae_OM75	marine_metagenome
bp_ASV_000322	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_OM60	uncultured_gamma_proteobacterium
bp_ASV_000325	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade	uncultured_gamma_proteobacterium
bp_ASV_000326	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade	uncultured_marine_bacterium
bp_ASV_000329	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS5	uncultured_marine_bacterium
bp_ASV_000330	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa	uncultured_marine_bacterium
bp_ASV_000331	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	marine_metagenome
bp_ASV_000333	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	uncultured_bacterium
bp_ASV_000334	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_OM182	Gammaproteobacteria_OM182	Gammaproteobacteria_OM182	uncultured_bacterium
bp_ASV_000335	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_marine_bacterium
